query	month	value	share_pct
прокат снегоходов	2024-09	194	0.0000097
прокат снегоходов	2024-10	386	0.0000172
прокат снегоходов	2024-11	1319	0.0000562
прокат снегоходов	2024-12	3637	0.0001517
прокат снегоходов	2025-01	2885	0.0001230
прокат снегоходов	2025-02	838	0.0000373
прокат снегоходов	2025-03	311	0.0000128
прокат снегоходов	2025-04	119	0.0000052
прокат снегоходов	2025-05	1060	0.0000505
прокат снегоходов	2025-06	1328	0.0000638
прокат снегоходов	2025-07	2286	0.0001071
прокат снегоходов	2025-08	1378	0.0000661
прокат снегоходов	2025-09	223	0.0000103
прокат снегоходов	2025-10	350	0.0000152
прокат снегоходов	2025-11	790	0.0000351
прокат снегоходов	2025-12	1796	0.0000816
прокат снегоходов	2026-01	8561	0.0004343
прокат снегоходов	2026-02	3928	0.0002156
прокат снегоходов	2026-03	468	0.0000220
прокат снегоходов	2026-04	55	0.0000025
прокат снегоходов	2026-05	55	0.0000027
прокат снегоходов	2026-06	68	0.0000034
прокат снегоходов	2026-07	107	0.0000051
прокат снегоходов	2026-08	123	0.0000059
прокат квадроциклов	2024-09	3130	0.000157
прокат квадроциклов	2024-10	2328	0.000104
прокат квадроциклов	2024-11	2083	0.000088
прокат квадроциклов	2024-12	2538	0.000105
прокат квадроциклов	2025-01	3663	0.000156
прокат квадроциклов	2025-02	2783	0.000124
прокат квадроциклов	2025-03	3069	0.000126
прокат квадроциклов	2025-04	3524	0.000155
прокат квадроциклов	2025-05	4234	0.000201
прокат квадроциклов	2025-06	5502	0.000264
прокат квадроциклов	2025-07	6337	0.000297
прокат квадроциклов	2025-08	5442	0.000261
прокат квадроциклов	2025-09	3551	0.000164
прокат квадроциклов	2025-10	2536	0.000110
прокат квадроциклов	2025-11	2102	0.000093
прокат квадроциклов	2025-12	1942	0.000088
прокат квадроциклов	2026-01	3634	0.000184
прокат квадроциклов	2026-02	1796	0.000098
прокат квадроциклов	2026-03	1987	0.000093
прокат квадроциклов	2026-04	2634	0.000122
прокат квадроциклов	2026-05	3899	0.000195
прокат квадроциклов	2026-06	4603	0.000234
прокат квадроциклов	2026-07	4991	0.000238
прокат квадроциклов	2026-08	4461	0.000214
катание на снегоходах	2024-09	223	0.0000111
катание на снегоходах	2024-10	556	0.0000249
катание на снегоходах	2024-11	1446	0.0000616
катание на снегоходах	2024-12	4220	0.0001761
катание на снегоходах	2025-01	4075	0.0001738
катание на снегоходах	2025-02	1192	0.0000531
катание на снегоходах	2025-03	286	0.0000118
катание на снегоходах	2025-04	104	0.0000046
катание на снегоходах	2025-05	182	0.0000086
катание на снегоходах	2025-06	121	0.0000058
катание на снегоходах	2025-07	246	0.0000115
катание на снегоходах	2025-08	274	0.0000131
катание на снегоходах	2025-09	308	0.0000142
катание на снегоходах	2025-10	562	0.0000244
катание на снегоходах	2025-11	1011	0.0000449
катание на снегоходах	2025-12	2350	0.0001068
катание на снегоходах	2026-01	8025	0.0004071
катание на снегоходах	2026-02	4374	0.0002401
катание на снегоходах	2026-03	503	0.0000236
катание на снегоходах	2026-04	61	0.0000028
катание на снегоходах	2026-05	43	0.0000021
катание на снегоходах	2026-06	47	0.0000023
катание на снегоходах	2026-07	75	0.0000035
катание на снегоходах	2026-08	154	0.0000074
новогодний корпоратив	2024-09	8008	0.000401
новогодний корпоратив	2024-10	26489	0.001186
новогодний корпоратив	2024-11	44097	0.001880
новогодний корпоратив	2024-12	79520	0.003318
новогодний корпоратив	2025-01	12476	0.000532
новогодний корпоратив	2025-02	4078	0.000181
новогодний корпоратив	2025-03	2745	0.000113
новогодний корпоратив	2025-04	2200	0.000097
новогодний корпоратив	2025-05	2372	0.000113
новогодний корпоратив	2025-06	1922	0.000092
новогодний корпоратив	2025-07	2956	0.000138
новогодний корпоратив	2025-08	4463	0.000214
новогодний корпоратив	2025-09	11027	0.000510
новогодний корпоратив	2025-10	28194	0.001225
новогодний корпоратив	2025-11	38623	0.001718
новогодний корпоратив	2025-12	75612	0.003438
новогодний корпоратив	2026-01	15421	0.000782
новогодний корпоратив	2026-02	2312	0.000126
новогодний корпоратив	2026-03	1967	0.000092
новогодний корпоратив	2026-04	1419	0.000066
новогодний корпоратив	2026-05	1324	0.000066
новогодний корпоратив	2026-06	1312	0.000066
новогодний корпоратив	2026-07	2049	0.000098
новогодний корпоратив	2026-08	3600	0.000173
квадроциклы подмосковье	2024-09	3330	0.000167
квадроциклы подмосковье	2024-10	2783	0.000124
квадроциклы подмосковье	2024-11	1983	0.000084
квадроциклы подмосковье	2024-12	2651	0.000110
квадроциклы подмосковье	2025-01	4081	0.000174
квадроциклы подмосковье	2025-02	3511	0.000156
квадроциклы подмосковье	2025-03	3016	0.000124
квадроциклы подмосковье	2025-04	3168	0.000140
квадроциклы подмосковье	2025-05	3657	0.000174
квадроциклы подмосковье	2025-06	4935	0.000237
квадроциклы подмосковье	2025-07	5631	0.000264
квадроциклы подмосковье	2025-08	5390	0.000258
квадроциклы подмосковье	2025-09	3350	0.000155
квадроциклы подмосковье	2025-10	2691	0.000117
квадроциклы подмосковье	2025-11	2191	0.000097
квадроциклы подмосковье	2025-12	2360	0.000107
квадроциклы подмосковье	2026-01	4157	0.000210
квадроциклы подмосковье	2026-02	2283	0.000125
квадроциклы подмосковье	2026-03	1991	0.000093
квадроциклы подмосковье	2026-04	2583	0.000120
квадроциклы подмосковье	2026-05	3498	0.000175
квадроциклы подмосковье	2026-06	3936	0.000200
квадроциклы подмосковье	2026-07	4354	0.000208
квадроциклы подмосковье	2026-08	3864	0.000185
тимбилдинг	2024-09	13496	0.00067
тимбилдинг	2024-10	14204	0.00063
тимбилдинг	2024-11	14143	0.00060
тимбилдинг	2024-12	11996	0.00050
тимбилдинг	2025-01	10875	0.00046
тимбилдинг	2025-02	12792	0.00057
тимбилдинг	2025-03	12354	0.00051
тимбилдинг	2025-04	14597	0.00064
тимбилдинг	2025-05	13844	0.00066
тимбилдинг	2025-06	15616	0.00075
тимбилдинг	2025-07	16980	0.00079
тимбилдинг	2025-08	13904	0.00066
тимбилдинг	2025-09	14080	0.00065
тимбилдинг	2025-10	13822	0.00060
тимбилдинг	2025-11	11259	0.00050
тимбилдинг	2025-12	8714	0.00039
тимбилдинг	2026-01	7200	0.00036
тимбилдинг	2026-02	8210	0.00045
тимбилдинг	2026-03	8657	0.00040
тимбилдинг	2026-04	9613	0.00044
тимбилдинг	2026-05	9833	0.00049
тимбилдинг	2026-06	9426	0.00047
тимбилдинг	2026-07	9300	0.00044
тимбилдинг	2026-08	8305	0.00039
прокат багги	2024-09	179	0.0000089
прокат багги	2024-10	181	0.0000081
прокат багги	2024-11	177	0.0000075
прокат багги	2024-12	166	0.0000069
прокат багги	2025-01	271	0.0000115
прокат багги	2025-02	198	0.0000088
прокат багги	2025-03	225	0.0000092
прокат багги	2025-04	238	0.0000105
прокат багги	2025-05	266	0.0000126
прокат багги	2025-06	341	0.0000163
прокат багги	2025-07	478	0.0000224
прокат багги	2025-08	415	0.0000199
прокат багги	2025-09	253	0.0000117
прокат багги	2025-10	281	0.0000122
прокат багги	2025-11	178	0.0000079
прокат багги	2025-12	203	0.0000092
прокат багги	2026-01	353	0.0000179
прокат багги	2026-02	188	0.0000103
прокат багги	2026-03	209	0.0000098
прокат багги	2026-04	231	0.0000107
прокат багги	2026-05	338	0.0000169
прокат багги	2026-06	431	0.0000219
прокат багги	2026-07	397	0.0000190
прокат багги	2026-08	328	0.0000157
права на квадроцикл	2024-09	6621	0.00033
права на квадроцикл	2024-10	5224	0.00023
права на квадроцикл	2024-11	5923	0.00025
права на квадроцикл	2024-12	6695	0.00027
права на квадроцикл	2025-01	9033	0.00038
права на квадроцикл	2025-02	8534	0.00038
права на квадроцикл	2025-03	10170	0.00042
права на квадроцикл	2025-04	10132	0.00044
права на квадроцикл	2025-05	10067	0.00048
права на квадроцикл	2025-06	11572	0.00055
права на квадроцикл	2025-07	11602	0.00054
права на квадроцикл	2025-08	10926	0.00052
права на квадроцикл	2025-09	7573	0.00035
права на квадроцикл	2025-10	5856	0.00025
права на квадроцикл	2025-11	5391	0.00023
права на квадроцикл	2025-12	4563	0.00020
права на квадроцикл	2026-01	7977	0.00040
права на квадроцикл	2026-02	5945	0.00032
права на квадроцикл	2026-03	8268	0.00038
права на квадроцикл	2026-04	8556	0.00039
права на квадроцикл	2026-05	9766	0.00049
права на квадроцикл	2026-06	10858	0.00055
права на квадроцикл	2026-07	10251	0.00049
права на квадроцикл	2026-08	9244	0.00044
