query	ai_answer	cited_domains	date
нужны ли права на квадроцикл	ДА	kargapolskij-mo.gosuslugi.ru; albatroskazan.ru	14.09.2026
тимбилдинг это простыми словами	ДА	источники в тексте ответа не выделены отдельными доменами	14.09.2026
организация корпоратива под ключ	ДА	источники в тексте ответа не выделены отдельными доменами	14.09.2026
со скольки лет можно на квадроцикле	ДА	auto.mail.ru	14.09.2026
аренда квадроцикла	нет	—	14.09.2026
корпоратив на снегоходах	ДА	домены в ответе не выделены	14.09.2026
тимбилдинг на квадроциклах	ДА	домены в ответе не выделены	14.09.2026
как организовать корпоратив на природе	ДА	домены в ответе не выделены	14.09.2026
что надеть на квадроцикл	ДА	домены в ответе не выделены	14.09.2026
первая поездка на квадроцикле	ДА	домены в ответе не выделены	14.09.2026
подарок впечатление мужчине	ДА	домены в ответе не выделены	14.09.2026
где отметить день рождения взрослому	ДА	домены в ответе не выделены	14.09.2026
хранение снегоходов москва	ДА	домены в ответе не выделены	14.09.2026
квадроцикл или багги что лучше	ДА	домены в ответе не выделены	14.09.2026
прокат квадроциклов цена	нет	—	14.09.2026
катание на снегоходе для начинающих	ДА	домены в ответе не выделены	14.09.2026
корпоратив по безналичному расчету	ДА	домены в ответе не выделены	14.09.2026
семейный прокат квадроциклов	ДА	домены в ответе не выделены	14.09.2026
трассы для квадроциклов в подмосковье	ДА	домены в ответе не выделены	14.09.2026
идеи для новогоднего корпоратива	ДА	домены в ответе не выделены	14.09.2026
