маркер	исключённая группа	причина	пример фраз	оценка объёма
новогодний корпоратив	фильм «Новогодний корпоратив» (2016)	омоним: художественный фильм, не услуга	новогодний корпоратив фильм; новогодний корпоратив смотреть онлайн; новогодний корпоратив актеры	367+254+78+... ~1200
новогодний корпоратив	порно/18+	нерелевантный интент	новогодний корпоратив порно; потрахались на новогоднем корпоративе	77+42+21+18
новогодний корпоратив	музыка Killagram «Новогодний корпоратив»	омоним: музыкальный трек	killagram новогодний корпоратив; новогодний корпоратив скачать мп3; новогодний корпоратив килограмм	46+14+14
новогодний корпоратив	дресс-код/одежда	смежная тема, не услуга проката техники	платье на новогодний корпоратив; образ на новогодний корпоратив	41+17+15
корпоратив на природе	порно/18+	нерелевантный интент	порно корпоратив на природе; корпоратив на природе удался порно	6+5+1
тимбилдинг	манхва/манга «Тимбилдинг с моими боссами»	омоним: комикс	тимбилдинг с моими боссами; манхва тимбилдинг; тимбилдинг манга	60+18+16+13+10+9
тимбилдинг	КВН/Камеди/фильмы	развлекательный контент, не услуга	камеди тимбилдинг; камеди клаб тимбилдинг; фильм тимбилдинг	15+11+15
тимбилдинг	правописание/перевод/синонимы	словарный интент; частично пригодно для инфостатьи-определения	тимбилдинг как пишется; тимбилдинг синоним; тимбилдинг на английском	23+33+20
тимбилдинг	детский/школьный тимбилдинг	вне услуг компании (нет школьных программ) — в резерв	тимбилдинг для класса; тимбилдинг для школьников; тимбилдинг в школе	106+57+39
прокат квадроциклов	другие регионы РФ и зарубежье	вне территории обслуживания	прокат квадроциклов екатеринбург; прокат квадроциклов архыз; прокат квадроциклов в минске	~1100 суммарно
аренда квадроцикла	аренда прицепа для перевозки	другая услуга, компания её не оказывает — в резерв	аренда прицепа для квадроцикла; аренда прицепа для перевозки квадроцикла	49+25
аренда квадроцикла	сдать свой квадроцикл в аренду / бизнес	интент владельца техники, не клиента	сдать квадроцикл в аренду; аренда квадроциклов как бизнес; аренда квадроциклов оквэд	17+18+3+1
мальчишник	фильм «Мальчишник в Вегасе» и группа «Мальчишник»	омоним: кинофраншиза и музыкальная группа — доминируют в выдаче и спросе	мальчишник в вегасе 39259; мальчишник фильм 14576; группа мальчишник 2612	~65000 из 68307
мальчишник	порно/18+	нерелевантный интент	порно мальчишник; мальчишник секс	594+723
где отметить день рождения	детский день рождения 4–14 лет	вне целевой аудитории (компания не работает с детскими ДР до 12 лет как отдельной услугой); частично резерв	где отметить день рождения ребенка 4923; где отметить день рождения 10 лет 967	~12000 из 20303
сафари на квадроциклах	Египет/Хургада/Шарм-эль-Шейх	зарубежный туризм, вне услуги	сафари на квадроциклах в египте; сафари в хургаде на квадроциклах	14+7+6+3
катание на квадроциклах	Египет/Хургада/Дубай/Пхукет	зарубежный туризм	катание на квадроциклах в египте; шарм эль шейх катание на квадроцикле	16+11+3+1
квадроциклы москва	покупка/продажа/б.у./запчасти/ремонт/регистрация техники	интент покупки товара, компания технику не продаёт (продажа есть в слогане, но не подтверждена ассортиментом)	купить квадроцикл в москве 5433; квадроцикл бу в москве 664; запчасти на квадроцикл в москве 80	~9000 из 10756
экстремальные развлечения	«экстремальные прятки» (блогеры A4, Луномосик, Янгер)	омоним: ютуб-челленджи в парках развлечений	экстремальные прятки в парке развлечений 179; а4 экстремальные прятки 39	~350 из 819
командообразование	учебная/академическая литература, школа, лагерь	интент студента/педагога, не заказчика мероприятия	лидерство и командообразование 245; командообразование класса 162; учебное пособие 44	~1100 из 1751
тест драйв квадроцикла	видео-обзоры моделей для покупателей	интент выбора техники к покупке, частично пригоден для инфостатьи	видео тест драйвов квадроциклов 44; тест драйв квадроцикла лончин	~150 из 316
хранение снегоходов	подъёмники, стеллажи, подставки (товары)	товарный интент, компания продаёт услугу хранения, не оборудование	подъемник для хранения снегохода 11; стеллаж для хранения двух снегоходов	~20 из 43
детский квадроцикл	покупка детской техники (бензиновый/электрический/кубы/модели)	товарный интент, компания не продаёт детские квадроциклы	квадроцикл детский бензиновый 3311; купить детский квадроцикл 3129	~17000 из 18853
квадроцикл зимой	советский квадроцикл «ЗИМ‑350»	омоним по опечатке/сокращению	квадроцикл зим 350 48; советский квадроцикл зим 12	~110 из 552
глэмпинг подмосковье	бронирование конкретных глэмпингов и размещение	компания не оказывает услугу размещения напрямую (номерной фонд у партнёра — пансионат «Союз Истра»)	глэмпинг в подмосковье с домиками 1298; глэмпинг с чаном 564	~12500 из 13264
базы отдыха	конкретные бренды баз (Берёзовая роща, Золотые караси, Ёлки-палки и т. п.)	навигационные запросы чужих объектов	березовая роща база отдыха подмосковье 697; золотые караси 379	~2500
сценарий корпоратива	застольные сценарии, сказки по ролям, конкурсы	интент ведущего/организатора застолья, не активного формата	сценарий корпоратива сказки 32; репка сценарий на корпоратив 9; сценарий корпоратива в кафе 5	~250 из 390
сценарий корпоратива	детский сад, школа, учителя, воспитатели	вне целевой аудитории	сценарий корпоратива детский сад 24; сценарий корпоратива для учителей 8	~45
подарок впечатление	другие регионы РФ	вне территории обслуживания	подарок впечатление волгоград 24; подарок впечатление хабаровск 13	~120
мероприятие для сотрудников	охрана труда, адаптация, обучение, розыскные мероприятия	HR-процессы и омонимы, не досуговое мероприятие	охрана труда мероприятие для сотрудников 24; сотрудник для розыскных мероприятий 18; мероприятия для адаптации сотрудников 16	~150
зимние развлечения	детский сад, младшая/средняя/старшая группа	педагогический интент	зимние развлечения младшая группа 3; зимнее развлечение в доу 3	~20
квест для компании	хоррор/страшные квесты в помещении	другой формат услуги (эскейп-румы)	страшные квесты для компании 62; хоррор квесты для компании 4	~110
мотовездеход	покупка российских мотовездеходов (Скаут, Тарусь, Тофалар, Лесной Кот, СР-32)	товарный интент на другой класс техники, которой у компании нет	купить мотовездеход 482; мотовездеход скаут 192; мотовездеход тарусь 61	~2200 из 2430
покатушки на квадроциклах	модели и кубатура, видео-контент блогеров	интент просмотра роликов и выбора техники к покупке	покатушки на квадроциклах кубов 134; даня и тиша покатушки 19; покатушки на квадроциклах стелс 24	~900 из 1139
экскурсии по подмосковью	автобусные, усадьбы, теплоход, православные	другой формат услуги	экскурсии по подмосковью на автобусе 99; экскурсии по усадьбам подмосковья 38	~450 из 632
